SPECIFICCAUSE_CLEAN,count
Unknown,8669
Lightning,8196
Debris Burning,2384
Campfire,2139
Recreation,1198
Smoking,1122
Other,1050
Children,801
Miscellany,760
Power/Transmission,756
False Alarm,640
Equipment/Vehicle Use,613
Land Clearing,554
Incendiary,493
Slash Burn,366
Miscellaneous,357
Trash Burn,342
Land Clear,328
Fireworks,319
Structure,277
Warming Fire,272
Human,242
Cooking Fire,238
Burning Building,237
Field Burn,218
Railroad,199
Open Trash Burn,186
Burning Bldg,170
Cook/Warming Fire,140
Trash Burning,127
Prescribed,122
Burn Barrels,107
Slash/Brush Piles,96
Exhaust,91
Burning Dump,89
Arson,86
Recurrent,74
Slash Burning,69
Garbage/Trash Burning,67
Pyromania,64
Structure Fire,56
Slash Disposal,51
Land  Clearing,50
Refuse Burning,50
Blasting,47
Cooking/Warming Fire,45
Spontaneous Combustion,44
Trashburning,41
Control Burn,38
Under Investigation,35
Firearms Use,35
"Other, Known",35
Aircraft,34
Row Burning,34
Field Burning,34
Cook-Warming Fire,34
Military Ordnance,27
Lawn Burning,27
L,26
Playing With Matches,23
Natural Out,22
Hand Pile/Slash,20
Friction/Sparks,19
Brakeshoe,18
Dump Fire,17
Meadow Burning,17
Warming,15
Resource Mgmt,15
Other (Known),15
Brakes,14
Burn Barrel,13
Exhaust Particles,13
Open Trash Burning,12
Flue Sparks,12
Open Ground Burning,11
Right-Of-Way,11
Ignition Devices,10
Matches,10
Hot Ashes,10
Playing/Matches,10
Matches/Lighters,9
"Cutting, Welding, Grinding",9
Logging,9
Controll Burn,9
Grudge Fire,8
Man,8
Trapper,8
Origin And/Or Cause Not Identified,7
Fusees,7
4,7
2,7
Trappers,7
Not Investigated,6
Incendiary Ammunition,6
Rock Strike,6
3,6
Agricultural,5
Signal Fire,5
Insect Cont,5
Stove Flue Sparks,5
Playing With Matche,5
Flares,4
Outdoor Burning Devices,4
Military Ordinance,4
Engine Heat,4
Prescribed Burn,4
Fireworks (Consumer Or Personal Use),4
8,4
7,4
Other Land Clearing,3
Cigar/Cigarette/Pipe,3
Hot Work: Welder/Grinder/Torch/Cutter,3
Insect Control,3
Line Const,3
Trash  Burn,3
Welding,3
9,3
Ash Disposal,3
Field/Agricultural Burning,2
Inert Target Shooting,2
Oil/Gas Fire,2
Mowing,2
Incendiary Device,2
F/A,2
Play W/ Matches,2
Exhaust - Other,2
Job Hunting,2
House Or Stove Flue Sparks,2
Warming Fires,2
Prescribed Fire,2
Fuel Sparks,2
6,2
5,2
Job Seeker,2
H,2
Unk,2
Coal,2
Fisherman,2
Ceremonial Fire,1
Burning Personal Items,1
Lighter/Matches,1
Bonfire/Party Fire,1
Hot Set,1
Distress/Signal Fire,1
Outdoor Oven/Fireplace/Metal Fire Ring,1
Chainsaw/Brush Saw/Weed Trimmer,1
Origin Destroyed,1
Coal Seam,1
Track/Row Maintenance,1
Glass Refraction/Magnification,1
Resource Mgmt Burning,1
Fuel/Lubricants/Fluids,1
Ammunition,1
Structures,1
Brake Shoes,1
Fire Works,1
West,1
South East,1
Logging Line,1
Field  Burn,1
Slash  Burn,1
Insect  Control,1
Brush Pile,1
Game Mgmt,1
Other`,1
Dump,1
Supp Act,1
Burning  Dump,1
Resource Management,1
Brake Shoe Particle,1
Coal Mine,1
Spontaneous Combust,1
Fire Arms,1
Military Range,1
Spark From Wood Stove,1
Chimney Sparks,1
Fusee,1
Repel Predators,1
0Playing With Matches,1
Field Clearing,1
Re-Burn,1
Burning Refuse,1
Controlled Burn,1
Arson-Vandalism,1
Fuel Spark,1
Cutting/Welding,1
Barrel,1
Playing / Matches,1
House Fire,1
Firecrackers,1
Incediary,1
Hunter,1
Prospector,1
Airplane,1
Backfiring,1
Pile Burning,1
Chimney Spark,1
Miners,1
Woodcutter,1
